task,model,features,valid_accuracy,valid_macro_f1
task1,logistic_regression,color+hog+additional,0.544,0.5408144517775269
task1,linear_svm,color+hog+additional,0.5293333333333333,0.5253874457420858
task1,svm_rbf,color+hog+additional,0.52,0.5251421819612332
task1,knn,color+hog+additional,0.2653333333333333,0.22331604899475863
task1,gaussian_nb,color+hog+additional,0.36933333333333335,0.3619452977381583
task1,random_forest,color+hog+additional,0.5213333333333333,0.5158920547080148
task1,extra_trees,color+hog+additional,0.49066666666666664,0.484531646392419
