task,model,features,valid_accuracy,valid_macro_f1
task2,logistic_regression,hog+additional+deep_efficientnet_v2_m,0.9166666666666666,0.9140962795374561
task2,linear_svm,hog+additional+deep_efficientnet_v2_m,0.9047619047619048,0.898611111111111
task2,svm_rbf,hog+additional+deep_efficientnet_v2_m,0.8809523809523809,0.8818809278097204
task2,knn,hog+additional+deep_efficientnet_v2_m,0.8214285714285714,0.8051608187134504
task2,gaussian_nb,hog+additional+deep_efficientnet_v2_m,0.7619047619047619,0.7637371615312791
task2,random_forest,hog+additional+deep_efficientnet_v2_m,0.8452380952380952,0.8403729913017838
task2,extra_trees,hog+additional+deep_efficientnet_v2_m,0.8571428571428571,0.8544719642242862
