task,model,features,valid_accuracy,valid_macro_f1
task1,logistic_regression,hog+additional+deep_efficientnet_v2_m,0.9253333333333333,0.9246314235929116
task1,linear_svm,hog+additional+deep_efficientnet_v2_m,0.9226666666666666,0.9220692902279826
task1,svm_rbf,hog+additional+deep_efficientnet_v2_m,0.9306666666666666,0.9306938158569296
task1,knn,hog+additional+deep_efficientnet_v2_m,0.8946666666666667,0.894948670648516
task1,gaussian_nb,hog+additional+deep_efficientnet_v2_m,0.9053333333333333,0.9060136040108402
task1,random_forest,hog+additional+deep_efficientnet_v2_m,0.9213333333333333,0.9211594980870907
task1,extra_trees,hog+additional+deep_efficientnet_v2_m,0.9146666666666666,0.9147067485628508
