task,model,features,valid_accuracy,valid_macro_f1
task1,logistic_regression,hog+additional+deep_efficientnet_v2_l,0.9733333333333334,0.9733021091604431
task1,linear_svm,hog+additional+deep_efficientnet_v2_l,0.9706666666666667,0.9706917771427117
task1,svm_rbf,hog+additional+deep_efficientnet_v2_l,0.9626666666666667,0.9627780189049421
task1,knn,hog+additional+deep_efficientnet_v2_l,0.9293333333333333,0.9285265681468319
task1,gaussian_nb,hog+additional+deep_efficientnet_v2_l,0.92,0.9219883357472796
task1,random_forest,hog+additional+deep_efficientnet_v2_l,0.9573333333333334,0.9571135177745317
task1,extra_trees,hog+additional+deep_efficientnet_v2_l,0.948,0.947728473491272
