task,model,features,valid_accuracy,valid_macro_f1
task2,logistic_regression,engineered,0.2976190476190476,0.27251537935748466
task2,linear_svm,engineered,0.36904761904761907,0.3617697653223969
task2,svm_rbf,engineered,0.2976190476190476,0.27578834907782274
task2,knn,engineered,0.23809523809523808,0.22550513212277917
task2,gaussian_nb,engineered,0.27380952380952384,0.2407914527927316
task2,random_forest,engineered,0.36904761904761907,0.36819413233600884
task2,extra_trees,engineered,0.30952380952380953,0.2636302294197031
