task,model,features,valid_accuracy,valid_macro_f1
task1,logistic_regression,deep_resnet152,0.928,0.927567377265089
task1,linear_svm,deep_resnet152,0.9213333333333333,0.9209278685803742
task1,svm_rbf,deep_resnet152,0.8786666666666667,0.8838474167532823
task1,knn,deep_resnet152,0.7906666666666666,0.7937255268901479
task1,gaussian_nb,deep_resnet152,0.8253333333333334,0.8283358664314372
task1,random_forest,deep_resnet152,0.908,0.9074095564103679
task1,extra_trees,deep_resnet152,0.912,0.9118102152880404
