task,model,features,valid_accuracy,valid_macro_f1
task2,logistic_regression,additional+deep_efficientnet_v2_l,0.9523809523809523,0.951388888888889
task2,linear_svm,additional+deep_efficientnet_v2_l,0.9523809523809523,0.951388888888889
task2,svm_rbf,additional+deep_efficientnet_v2_l,0.9642857142857143,0.9630211558307533
task2,knn,additional+deep_efficientnet_v2_l,0.9523809523809523,0.9509920634920637
task2,gaussian_nb,additional+deep_efficientnet_v2_l,0.9404761904761905,0.9384430438842204
task2,random_forest,additional+deep_efficientnet_v2_l,0.9642857142857143,0.9626733500417712
task2,extra_trees,additional+deep_efficientnet_v2_l,0.9761904761904762,0.9755211558307535
