task,model,features,max_depth,min_samples_leaf,max_features,n_estimators,cv_folds,mean_accuracy,mean_macro_f1
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,8,log2,300,5,0.8728628800917958,0.8714911052140154
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,2,sqrt,300,5,0.8705679862306368,0.868027517889747
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,2,sqrt,300,5,0.8705679862306368,0.868027517889747
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,4,0.3,300,5,0.8705679862306368,0.8678398529575
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,2,sqrt,300,5,0.8705679862306368,0.868027517889747
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,8,log2,300,5,0.8705106138841078,0.8677463776333745
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,1,0.3,300,5,0.8705106138841078,0.868645704312887
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,8,log2,300,5,0.8705106138841078,0.8677463776333745
task2,random_forest,hog+additional+deep_efficientnet_v2_m,8,1,0.3,300,5,0.8705106138841078,0.8689178061360723
task2,random_forest,hog+additional+deep_efficientnet_v2_m,20,1,0.3,300,5,0.8705106138841078,0.868645704312887
task2,random_forest,hog+additional+deep_efficientnet_v2_m,15,8,log2,300,5,0.8705106138841078,0.8677463776333745
task2,random_forest,hog+additional+deep_efficientnet_v2_m,None,1,0.3,300,5,0.8705106138841078,0.868645704312887
task2,random_forest,hog+additional+deep_efficientnet_v2_m,5,8,log2,300,5,0.8704819277108434,0.8693574622831587
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,8,log2,300,5,0.868100975329891,0.865442456064747
task2,random_forest,hog+additional+deep_efficientnet_v2_m,5,1,0.3,300,5,0.8657200229489387,0.8621887751051839
task2,random_forest,hog+additional+deep_efficientnet_v2_m,10,1,0.3,300,5,0.8657200229489386,0.8638164453365691
task2,random_forest,hog+additional+deep_efficientnet_v2_m,5,4,0.3,300,5,0.8632816982214573,0.8608522928739646
task2,random_forest,hog+additional+deep_efficientnet_v2_m,5,8,0.3,300,5,0.8585771658060815,0.8558449252845538
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,1,log2,300,5,0.8323293172690762,0.822421145455403
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,2,log2,300,5,0.8323293172690762,0.8217395259053625
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,8,sqrt,300,5,0.8322432587492828,0.8248435948670167
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,8,log2,300,5,0.8275100401606427,0.8170255577269978
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,4,log2,300,5,0.8251004016064257,0.8146540444793239
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,4,sqrt,300,5,0.8226333907056798,0.8139735174040599
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,1,sqrt,300,5,0.8226333907056798,0.81418330761385
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,2,sqrt,300,5,0.8202524383247274,0.8120946609663798
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,8,0.3,300,5,0.7891279403327596,0.7806351773441558
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,1,0.3,300,5,0.7867183017785427,0.7750897185030312
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,2,0.3,300,5,0.7843086632243259,0.7738703823808144
task2,random_forest,hog+additional+deep_efficientnet_v2_m,3,4,0.3,300,5,0.7771084337349398,0.7669901783055639
