task,model,features,valid_accuracy,valid_macro_f1
task2,logistic_regression,engineered+deep_efficientnet_v2_m,0.9166666666666666,0.9140962795374561
task2,linear_svm,engineered+deep_efficientnet_v2_m,0.9285714285714286,0.9257775660871637
task2,svm_rbf,engineered+deep_efficientnet_v2_m,0.8571428571428571,0.855830507641653
task2,knn,engineered+deep_efficientnet_v2_m,0.7976190476190477,0.7795921175487739
task2,gaussian_nb,engineered+deep_efficientnet_v2_m,0.7857142857142857,0.7882703081232494
task2,random_forest,engineered+deep_efficientnet_v2_m,0.8452380952380952,0.8441159270725833
task2,extra_trees,engineered+deep_efficientnet_v2_m,0.8809523809523809,0.8776162219273674
