task,model,features,valid_accuracy,valid_macro_f1
task2,logistic_regression,color+hog+additional,0.3333333333333333,0.3130828966355282
task2,linear_svm,color+hog+additional,0.3333333333333333,0.31502796847190434
task2,svm_rbf,color+hog+additional,0.27380952380952384,0.2296512909840584
task2,knn,color+hog+additional,0.16666666666666666,0.12031919487162454
task2,gaussian_nb,color+hog+additional,0.19047619047619047,0.1556574125594399
task2,random_forest,color+hog+additional,0.40476190476190477,0.39195360195360196
task2,extra_trees,color+hog+additional,0.35714285714285715,0.31214446252809425
