task,model,features,C,gamma,max_depth,min_samples_leaf,max_features,n_estimators,cv_folds,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,4.0,0.3,300.0,5,0.9616465863453815,0.013890033490807167,0.9616977247039167,0.013686788584154952
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,4.0,0.3,300.0,5,0.9616465863453815,0.013890033490807167,0.9616977247039167,0.013686788584154952
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,1.0,log2,300.0,5,0.9615892139988527,0.017689021189646846,0.9613258164264357,0.018953026018767558
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,10.0,0.0003,None,,,,5,0.9615892139988524,0.023348571457939542,0.9615141284584009,0.02424990493733963
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,30.0,0.0003,None,,,,5,0.9615892139988524,0.023348571457939542,0.9615141284584009,0.02424990493733963
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,100.0,0.0003,None,,,,5,0.9615892139988524,0.023348571457939542,0.9615141284584009,0.02424990493733963
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,1.0,0.3,300.0,5,0.9615605278255881,0.014168762792114618,0.9616242075777679,0.014190662286160553
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,10,4.0,log2,300.0,5,0.9615605278255881,0.01604503603806612,0.9617385866627354,0.01693708511246379
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,20,1.0,log2,300.0,5,0.9615605278255881,0.019327967836847395,0.9613616658539261,0.02040187820150767
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,None,1.0,log2,300.0,5,0.9615605278255881,0.019327967836847395,0.9613616658539261,0.02040187820150767
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,2.0,0.3,300.0,5,0.9592369477911646,0.014335741090947348,0.9591281635461202,0.014557026518400537
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,2.0,0.3,300.0,5,0.9592082616179001,0.009655614222105082,0.959155511327338,0.009970576162149972
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,2.0,0.3,300.0,5,0.9592082616179001,0.009655614222105082,0.959155511327338,0.009970576162149972
