task,model,features,valid_accuracy,valid_macro_f1
task1,logistic_regression,hog+additional+deep_resnet152,0.9293333333333333,0.9290682725581096
task1,linear_svm,hog+additional+deep_resnet152,0.9266666666666666,0.9262702724423303
task1,svm_rbf,hog+additional+deep_resnet152,0.88,0.8849768843577884
task1,knn,hog+additional+deep_resnet152,0.7853333333333333,0.7899917062993765
task1,gaussian_nb,hog+additional+deep_resnet152,0.832,0.8347269534271016
task1,random_forest,hog+additional+deep_resnet152,0.9213333333333333,0.9208253009053078
task1,extra_trees,hog+additional+deep_resnet152,0.9093333333333333,0.9092847486004645
