task,model,features,valid_accuracy,valid_macro_f1
task1,logistic_regression,color+deep_efficientnet_v2_m,0.9226666666666666,0.922100624172082
task1,linear_svm,color+deep_efficientnet_v2_m,0.9186666666666666,0.9183547963026012
task1,svm_rbf,color+deep_efficientnet_v2_m,0.9253333333333333,0.9251052837133147
task1,knn,color+deep_efficientnet_v2_m,0.9,0.9003672376573242
task1,gaussian_nb,color+deep_efficientnet_v2_m,0.8893333333333333,0.8906991673626342
task1,random_forest,color+deep_efficientnet_v2_m,0.9146666666666666,0.9148537519289869
task1,extra_trees,color+deep_efficientnet_v2_m,0.9133333333333333,0.913653475270614
